Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,03/03/19,New Delhi,Cochin,DEL ? BOM ? COK,2:15,13:20,11h 5m,1 stop,No info,17057
SpiceJet,03/24/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:05,1h 20m,non-stop,No check-in baggage included,2175
Jet Airways,03/21/19,Mumbai,Hyderabad,BOM ? HYD,3:05,4:25,1h 20m,non-stop,No info,5678
Jet Airways,06/06/19,New Delhi,Cochin,DEL ? JDH ? BOM ? COK,11:40,19:00,7h 20m,2 stops,No info,18804
Jet Airways,05/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,16:30,25-05-21 9:20,16h 50m,1 stop,In-flight meal not included,9663
Multiple carriers,06/27/19,New Delhi,Cochin,DEL ? BOM ? COK,8:30,19:00,10h 30m,1 stop,No info,11200
Jet Airways,03/27/19,New Delhi,Cochin,DEL ? BOM ? COK,19:15,28-03-21 19:45,24h 30m,1 stop,In-flight meal not included,5963
Jet Airways,03/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,25-03-21 18:10,23h 15m,1 stop,In-flight meal not included,11134
Jet Airways,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,28-05-21 12:35,26h 35m,1 stop,In-flight meal not included,12898
Air India,03/01/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,10082
Jet Airways,03/12/19,Bangalore,New Delhi,BLR ? BOM ? DEL,18:55,13-03-21 18:25,23h 30m,1 stop,In-flight meal not included,11087
Air Asia,04/06/19,Bangalore,New Delhi,BLR ? DEL,23:55,07/04/21 2:45,2h 50m,non-stop,No info,3383
Air Asia,06/03/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,non-stop,No info,4282
Jet Airways,05/21/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,4030
Multiple carriers,05/15/19,New Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,7670
Air India,04/12/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,5195
Jet Airways,06/09/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,10/06/21 18:00,25h,1 stop,No info,14151
Air India,03/15/19,Bangalore,New Delhi,BLR ? CCU ? BBI ? DEL,5:50,23:45,17h 55m,2 stops,No info,7664
Multiple carriers,05/18/19,New Delhi,Cochin,DEL ? BOM ? COK,7:00,21:00,14h,1 stop,No info,8073
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,7485
Multiple carriers,06/12/19,New Delhi,Cochin,DEL ? BOM ? COK,7:00,19:00,12h,1 stop,No info,12192
IndiGo,04/09/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4823
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,13:00,15:50,2h 50m,non-stop,No info,3943
Jet Airways,04/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,02/04/21 4:40,9h 45m,1 stop,In-flight meal not included,7064
Jet Airways,05/18/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
Jet Airways,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,21:50,22-05-21 4:25,6h 35m,1 stop,No info,16079
Air India,06/09/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:40,1h 20m,non-stop,No info,3100
Jet Airways,06/24/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,non-stop,No info,5678
Jet Airways,06/12/19,New Delhi,Cochin,DEL ? ATQ ? BOM ? COK,18:20,13-06-21 12:35,18h 15m,2 stops,No info,14300
Air India,05/01/19,Kolkata,Bangalore,CCU ? BBI ? BOM ? BLR,9:10,21:50,12h 40m,2 stops,No info,12009
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,non-stop,No info,4823
Air Asia,05/15/19,New Delhi,Cochin,DEL ? BLR ? COK,16:45,22:25,5h 40m,1 stop,No info,6752
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,3943
Jet Airways,05/21/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? BOM ? COK,9:00,19:00,10h,1 stop,No info,15554
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? HYD ? COK,9:45,22-05-21 0:55,15h 10m,1 stop,No info,9486
Jet Airways,05/18/19,Kolkata,Bangalore,CCU ? BOM ? BLR,21:10,19-05-21 4:40,7h 30m,1 stop,In-flight meal not included,8586
Jet Airways,03/12/19,Bangalore,New Delhi,BLR ? BOM ? DEL,8:55,23:00,14h 5m,1 stop,No info,13817
Jet Airways,05/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,25-05-21 19:50,24h 55m,1 stop,In-flight meal not included,10844
Vistara,05/12/19,Kolkata,Bangalore,CCU ? DEL ? BLR,7:10,22:40,15h 30m,1 stop,No info,8662
Jet Airways,06/09/19,New Delhi,Cochin,DEL ? NAG ? BOM ? COK,6:45,10/06/21 12:35,29h 50m,2 stops,No info,13376
IndiGo,05/06/19,Kolkata,Bangalore,CCU ? MAA ? BLR,8:10,13:00,4h 50m,1 stop,No info,5069
Jet Airways,06/12/19,Kolkata,Bangalore,CCU ? BOM ? BLR,14:05,22:35,8h 30m,1 stop,No info,13626
Multiple carriers,05/15/19,New Delhi,Cochin,DEL ? HYD ? COK,13:05,22:30,9h 25m,1 stop,No info,9646
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? MAA ? DEL,6:25,11:30,5h 5m,1 stop,No info,8434
IndiGo,04/24/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,4804
Jet Airways,06/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,10/06/21 4:40,9h 45m,1 stop,No info,14178
Air Asia,03/21/19,New Delhi,Cochin,DEL ? BLR ? COK,20:10,22-03-21 7:10,11h,1 stop,No info,6151
IndiGo,06/09/19,Kolkata,Bangalore,CCU ? HYD ? BLR,19:20,23:45,4h 25m,1 stop,No info,4205
Jet Airways,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,7:00,19:10,12h 10m,1 stop,No info,16736
Air India,06/12/19,New Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,13-06-21 7:40,20h 45m,2 stops,No info,11753
Multiple carriers,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,6:40,18:50,12h 10m,1 stop,No info,13568
SpiceJet,06/27/19,Mumbai,Hyderabad,BOM ? HYD,22:45,28-06-21 0:15,1h 30m,non-stop,No check-in baggage included,1965
Air Asia,03/24/19,Bangalore,New Delhi,BLR ? DEL,23:25,25-03-21 2:10,2h 45m,non-stop,No info,4482
IndiGo,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,9:15,21:00,11h 45m,1 stop,No info,7318
IndiGo,06/12/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,non-stop,No info,4804
IndiGo,04/01/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,non-stop,No info,3943
Multiple carriers,06/15/19,New Delhi,Cochin,DEL ? BOM ? COK,19:00,16-06-21 1:30,6h 30m,1 stop,No info,6795
Jet Airways,06/09/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,9:40,10/06/21 12:35,26h 55m,2 stops,No info,13014
Air India,05/18/19,Kolkata,Bangalore,CCU ? DEL ? BLR,7:00,20:25,13h 25m,1 stop,No info,11306
Jet Airways,05/15/19,Kolkata,Bangalore,CCU ? GAU ? BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608
IndiGo,03/03/19,New Delhi,Cochin,DEL ? LKO ? COK,5:35,10:10,4h 35m,1 stop,No info,13753
Jet Airways,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,17:30,22-05-21 4:25,10h 55m,1 stop,In-flight meal not included,12898
Jet Airways,06/15/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210
Air Asia,06/21/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,4107
GoAir,06/15/19,New Delhi,Cochin,DEL ? BOM ? COK,10:35,19:35,9h,1 stop,No info,4959
Multiple carriers,06/09/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,10/06/21 1:30,15h 30m,1 stop,No info,7198
IndiGo,03/06/19,Chennai,Kolkata,MAA ? CCU,14:40,17:05,2h 25m,non-stop,No info,7295
Jet Airways,06/01/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,02/06/21 4:25,22h 55m,2 stops,No info,13014
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,8:00,19:00,11h,1 stop,No info,10197
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,8475
IndiGo,06/03/19,Mumbai,Hyderabad,BOM ? HYD,1:40,3:10,1h 30m,non-stop,No info,2754
IndiGo,04/24/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? BOM ? COK,21:50,10/05/21 4:25,6h 35m,1 stop,No info,15554
Air India,04/03/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,2050
Jet Airways,03/15/19,Bangalore,New Delhi,BLR ? BOM ? DEL,7:00,12:15,5h 15m,1 stop,No info,17524
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,9:00,18:50,9h 50m,1 stop,In-flight meal not included,15400
Air India,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,16:50,02/05/21 7:55,15h 5m,1 stop,No info,8366
GoAir,06/27/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,non-stop,No info,3419
Jet Airways,03/01/19,Bangalore,New Delhi,BLR ? BOM ? DEL,14:05,02/03/21 10:25,20h 20m,1 stop,No info,20800
Air India,03/03/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,non-stop,No info,7931
IndiGo,05/09/19,New Delhi,Cochin,DEL ? HYD ? COK,7:35,12:10,4h 35m,1 stop,No info,5054
GoAir,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,14:25,19:35,5h 10m,1 stop,No info,7870
Air India,05/01/19,Kolkata,Bangalore,CCU ? HYD ? BLR,19:00,02/05/21 11:05,16h 5m,1 stop,No info,6117
IndiGo,05/24/19,Kolkata,Bangalore,CCU ? PNQ ? BLR,21:00,25-05-21 2:15,5h 15m,1 stop,No info,6534
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? BOM ? COK,8:00,19:45,11h 45m,1 stop,No info,17549
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,02/05/21 12:00,17h 5m,1 stop,In-flight meal not included,9663
Air India,05/12/19,Kolkata,Bangalore,CCU ? IXR ? DEL ? BLR,5:50,13-05-21 8:55,27h 5m,2 stops,No info,11411
Vistara,03/21/19,Bangalore,New Delhi,BLR ? DEL,9:50,12:35,2h 45m,non-stop,No info,4878
Jet Airways,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,14:00,28-05-21 12:35,22h 35m,1 stop,In-flight meal not included,12898
IndiGo,03/01/19,Kolkata,Bangalore,CCU ? BLR,15:10,17:45,2h 35m,non-stop,No info,6565
Jet Airways,06/21/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8541
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,4823
SpiceJet,04/06/19,Kolkata,Bangalore,CCU ? BLR,22:20,07/04/21 0:40,2h 20m,non-stop,No info,3873
IndiGo,06/12/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,non-stop,No info,3175
Air India,05/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,5228
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,26-06-21 4:25,29h 20m,2 stops,No info,12819
Jet Airways,06/15/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,7229
Jet Airways,05/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,No info,14781
Multiple carriers,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,6:40,18:50,12h 10m,1 stop,No info,15135
Air India,06/06/19,New Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,07/06/21 19:15,26h,2 stops,No info,12777
Jet Airways,06/03/19,New Delhi,Cochin,DEL ? JAI ? BOM ? COK,9:40,04/06/21 12:35,26h 55m,2 stops,In-flight meal not included,10368
IndiGo,06/09/19,New Delhi,Cochin,DEL ? BOM ? COK,17:30,10/06/21 1:30,8h,1 stop,No info,6104
Air India,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,9:25,18:30,9h 5m,1 stop,No info,8891
Jet Airways,04/12/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,5198
Multiple carriers,06/03/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,9718
SpiceJet,05/15/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,non-stop,No check-in baggage included,3841
Air India,05/21/19,Kolkata,Bangalore,CCU ? DEL ? COK ? BLR,10:00,22-05-21 1:20,15h 20m,2 stops,No info,13033
Jet Airways,03/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,21:10,25-03-21 20:40,23h 30m,1 stop,No info,13759
Air India,06/09/19,Kolkata,Bangalore,CCU ? GAU ? IMF ? DEL ? BLR,9:50,23:15,13h 25m,3 stops,No info,14960
Multiple carriers,06/03/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,04/06/21 1:30,9h 30m,1 stop,No info,13377
Air India,05/12/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,5438
Jet Airways,04/15/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,7229
Vistara,03/21/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3739
Jet Airways,06/09/19,New Delhi,Cochin,DEL ? BOM ? COK,21:50,10/06/21 19:00,21h 10m,1 stop,In-flight meal not included,10262
Vistara,06/09/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,23:25,6h 25m,1 stop,No info,9870
Air India,03/24/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,4441
SpiceJet,06/27/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No check-in baggage included,3573
Vistara,05/03/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,non-stop,No info,3687
IndiGo,03/06/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,non-stop,No info,7295
Jet Airways,06/03/19,New Delhi,Cochin,DEL ? IDR ? BOM ? COK,9:35,04/06/21 12:35,27h,2 stops,No info,13292
Jet Airways,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,2:15,19:00,16h 45m,1 stop,In-flight meal not included,12898
Air India,05/01/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,non-stop,No info,6121
IndiGo,05/18/19,Kolkata,Bangalore,CCU ? BBI ? BLR,19:35,23:15,3h 40m,1 stop,No info,4226
SpiceJet,05/27/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,25-06-21 19:00,27h,1 stop,In-flight meal not included,10262
Jet Airways,05/18/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
Multiple carriers,06/12/19,New Delhi,Cochin,DEL ? BOM ? COK,6:00,12:35,6h 35m,1 stop,No info,11789
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,19:15,9h 15m,1 stop,No info,14848
IndiGo,06/03/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,4823
Vistara,04/01/19,Kolkata,Bangalore,CCU ? DEL ? BLR,20:20,02/04/21 22:55,26h 35m,1 stop,No info,7770
Jet Airways,05/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,14:05,10/05/21 18:15,28h 10m,1 stop,No info,13584
GoAir,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,7:00,12:55,5h 55m,1 stop,No info,5281
IndiGo,04/24/19,Kolkata,Bangalore,CCU ? HYD ? BLR,15:15,20:05,4h 50m,1 stop,No info,4565
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? BOM ? COK,15:00,10/05/21 4:25,13h 25m,1 stop,In-flight meal not included,12373
SpiceJet,03/06/19,Kolkata,Bangalore,CCU ? BLR,22:20,07/03/21 0:40,2h 20m,non-stop,No info,3849
Jet Airways,06/27/19,Mumbai,Hyderabad,BOM ? HYD,8:45,10:15,1h 30m,non-stop,No info,8040
Air India,05/06/19,New Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,07/05/21 19:15,21h 15m,2 stops,No info,11701
Jet Airways,03/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,8:25,22:35,14h 10m,1 stop,In-flight meal not included,10031
IndiGo,05/27/19,New Delhi,Cochin,DEL ? HYD ? COK,7:35,22:30,14h 55m,1 stop,No info,7514
Jet Airways,06/01/19,New Delhi,Cochin,DEL ? BOM ? COK,13:00,02/06/21 12:35,23h 35m,1 stop,In-flight meal not included,10262
IndiGo,03/27/19,New Delhi,Cochin,DEL ? HYD ? MAA ? COK,8:35,21:20,12h 45m,2 stops,No info,6494
IndiGo,06/12/19,New Delhi,Cochin,DEL ? PNQ ? COK,23:30,13-06-21 4:35,5h 5m,1 stop,No info,10112
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? BOM ? COK,8:00,10/05/21 4:25,20h 25m,1 stop,In-flight meal not included,12373
Air India,05/21/19,New Delhi,Cochin,DEL ? COK,14:05,17:55,3h 50m,non-stop,No info,6094
Jet Airways,04/01/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,02/04/21 12:35,20h 35m,1 stop,In-flight meal not included,5406
Jet Airways,05/18/19,Kolkata,Bangalore,CCU ? BOM ? BLR,8:25,19-05-21 9:20,24h 55m,1 stop,No info,14388
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,11:30,25-06-21 4:25,16h 55m,1 stop,In-flight meal not included,10262
Air India,05/18/19,New Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,19-05-21 7:40,18h 20m,2 stops,No info,13801
IndiGo,06/01/19,New Delhi,Cochin,DEL ? HYD ? COK,11:55,22:30,10h 35m,1 stop,No info,6674
Jet Airways,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,2:15,19:00,16h 45m,1 stop,In-flight meal not included,12898
Multiple carriers,06/06/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,07/06/21 1:30,9h 30m,1 stop,No info,13377
IndiGo,06/18/19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,non-stop,No info,4049
Air Asia,04/27/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,non-stop,No info,4282
Jet Airways,05/18/19,New Delhi,Cochin,DEL ? BOM ? COK,2:15,19:00,16h 45m,1 stop,In-flight meal not included,12373
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,17:30,25-06-21 19:00,25h 30m,1 stop,In-flight meal not included,10262
Jet Airways,06/12/19,Kolkata,Bangalore,CCU ? BOM ? BLR,8:25,18:15,9h 50m,1 stop,In-flight meal not included,9899
Air India,03/24/19,Kolkata,Bangalore,CCU ? DEL ? BLR,20:30,25-03-21 8:55,12h 25m,1 stop,No info,12173
IndiGo,04/01/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,4423
Vistara,06/06/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,non-stop,No info,4668
Jet Airways,03/21/19,New Delhi,Cochin,DEL ? BDQ ? BOM ? COK,10:45,22-03-21 18:50,32h 5m,2 stops,No info,11869
Air India,06/27/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,28-06-21 19:15,23h 30m,2 stops,No info,9653
Multiple carriers,06/12/19,New Delhi,Cochin,DEL ? BOM ? COK,10:20,19:00,8h 40m,1 stop,No info,11789
