,0,1,2,3,4,5,6,7,8,9,10
117,IndiGo,06-06-19,Kolkata,Bangalore,CCU ? BLR,22:15,07-06-21 0:50,2h 35m,1,No info,4804
118,Jet Airways,24-04-19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,7229
119,Jet Airways,27-04-19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,4544
120,IndiGo,15-06-19,Kolkata,Bangalore,CCU ? BLR,21:25,16-06-21 0:05,2h 40m,1,No info,4804
121,IndiGo,01-06-19,Bangalore,New Delhi,BLR ? DEL,23:30,02-06-21 2:20,2h 50m,1,No info,4591
122,Jet Airways,21-06-19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,In-flight meal not included,7754
123,Jet Airways,09-06-19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,8016
124,SpiceJet,24-03-19,Kolkata,Bangalore,CCU ? BLR,6:55,9:35,2h 40m,1,No check-in baggage included,4781
125,Vistara,27-06-19,Bangalore,New Delhi,BLR ? DEL,11:30,14:20,2h 50m,1,No info,4668
126,IndiGo,03-03-19,Chennai,Kolkata,MAA ? CCU,14:40,17:05,2h 25m,1,No info,7295
127,IndiGo,09-03-19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,6860
128,Vistara,15-04-19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,6216
129,IndiGo,09-04-19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
130,SpiceJet,03-04-19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,3919
131,IndiGo,03-06-19,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,1h 30m,1,No info,2754
132,IndiGo,09-04-19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
133,SpiceJet,27-03-19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,3384
134,SpiceJet,18-06-19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
135,IndiGo,18-05-19,Kolkata,Bangalore,CCU ? BLR,22:15,19-05-21 0:50,2h 35m,1,No info,4804
136,SpiceJet,06-06-19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,3919
137,IndiGo,03-06-19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
138,Air India,09-03-19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,1,No info,10741
139,GoAir,09-03-19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,7631
140,IndiGo,18-04-19,Bangalore,New Delhi,BLR ? DEL,23:30,19-04-21 2:20,2h 50m,1,No info,4591
141,IndiGo,18-05-19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
142,Jet Airways,18-05-19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,No info,5678
143,IndiGo,12-04-19,Bangalore,New Delhi,BLR ? DEL,23:30,13-04-21 2:20,2h 50m,1,No info,6906
144,SpiceJet,21-05-19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
145,Vistara Premium economy,03-03-19,Bangalore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,1,No info,11793
146,SpiceJet,09-04-19,Bangalore,New Delhi,BLR ? DEL,21:10,10-04-21 0:05,2h 55m,1,No info,3971
147,Vistara,12-04-19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,5403
148,Jet Airways,18-04-19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,5198
149,Vistara,01-06-19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
150,Vistara,21-04-19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6741
151,Air India,21-04-19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,5228
152,IndiGo,06-04-19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
153,SpiceJet,01-06-19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
154,GoAir,18-04-19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,4937
155,IndiGo,27-06-19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,3858
156,Jet Airways,01-05-19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
157,IndiGo,09-03-19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7648
158,SpiceJet,15-06-19,Kolkata,Bangalore,CCU ? BLR,14:55,17:25,2h 30m,1,No info,3873
159,IndiGo,06-03-19,Kolkata,Bangalore,CCU ? BLR,17:15,19:55,2h 40m,1,No info,5618
160,Vistara,03-05-19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
161,Vistara,09-03-19,Bangalore,New Delhi,BLR ? DEL,16:10,18:50,2h 40m,1,No info,7923
162,Vistara,03-06-19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
163,Jet Airways,03-04-19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
164,SpiceJet,21-04-19,Kolkata,Bangalore,CCU ? BLR,22:20,22-04-21 0:40,2h 20m,1,No info,4911
165,IndiGo,06-03-19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,6482
166,IndiGo,01-06-19,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,1,No info,3597
167,IndiGo,09-06-19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
168,IndiGo,27-03-19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:35,1h 30m,1,No info,2227
169,Air India,27-05-19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,3100
170,IndiGo,09-05-19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
171,SpiceJet,09-03-19,Mumbai,Hyderabad,BOM ? HYD,8:50,10:15,1h 25m,1,No info,5755
172,Vistara,27-05-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
173,IndiGo,27-04-19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4423
174,SpiceJet,21-05-19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3543
175,GoAir,24-05-19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3398
176,Air India,24-04-19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,5201
177,SpiceJet,01-03-19,Chennai,Kolkata,MAA ? CCU,9:30,12:05,2h 35m,1,No info,7298
178,Jet Airways,06-04-19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
179,IndiGo,01-04-19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,1,No info,4174
180,Air India,24-04-19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,4880
181,IndiGo,09-03-19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,1,No info,4392
182,SpiceJet,12-06-19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No check-in baggage included,3841
183,GoAir,01-06-19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,5048
184,Vistara,21-03-19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3739
185,Jet Airways,15-06-19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,In-flight meal not included,7229
186,Vistara,09-05-19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6216
187,Air India,09-06-19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,6961
188,IndiGo,12-04-19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4488
189,Jet Airways,18-04-19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,5443
190,Jet Airways,21-05-19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,No info,7229
191,IndiGo,21-06-19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
192,Jet Airways,03-03-19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:25,1h 30m,1,In-flight meal not included,4050
193,Air India,03-03-19,Bangalore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,1,No info,7591
194,Air India,09-03-19,Bangalore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,1,No info,4966
195,SpiceJet,01-03-19,Kolkata,Bangalore,CCU ? BLR,22:20,02-03-21 0:40,2h 20m,1,No info,5515
196,Jet Airways,21-04-19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,7229
197,Air India,15-05-19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,6094
198,Air Asia,24-04-19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
199,Jet Airways,03-04-19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
200,Vistara,18-05-19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4878
201,Jet Airways,01-06-19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,7229
202,Jet Airways,21-04-19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,6144
203,Air India,18-05-19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,6961
204,IndiGo,21-05-19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
205,SpiceJet,15-04-19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,4174
206,Air Asia,01-04-19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,1,No info,3807
207,SpiceJet,01-05-19,Bangalore,New Delhi,BLR ? DEL,21:10,02-05-21 0:05,2h 55m,1,No info,4991
208,SpiceJet,06-04-19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
209,IndiGo,27-05-19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
210,Air Asia,03-05-19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,6181
211,SpiceJet,15-06-19,Bangalore,New Delhi,BLR ? DEL,21:10,16-06-21 0:05,2h 55m,1,No info,3971
212,IndiGo,06-05-19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
213,Jet Airways,01-05-19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,In-flight meal not included,5198
214,Vistara,03-05-19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,5613
215,IndiGo,03-03-19,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,1h 25m,1,No info,4784
216,Air India,27-04-19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,5228
217,Air India,15-06-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
218,Vistara,21-04-19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,5403
219,IndiGo,24-05-19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
220,IndiGo,21-06-19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,1,No info,4049
221,Air India,12-06-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
222,Air India,03-03-19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,7591
223,IndiGo,09-06-19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
224,SpiceJet,03-05-19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
225,Vistara,24-06-19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,4668
226,SpiceJet,09-06-19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No info,3597
227,Air Asia,24-04-19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
228,Vistara,27-04-19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,5403
229,IndiGo,12-06-19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4049
230,GoAir,18-06-19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
231,IndiGo,03-05-19,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,1,No info,3597
232,IndiGo,27-05-19,Bangalore,New Delhi,BLR ? DEL,21:15,28-05-21 0:15,3h,1,No info,3943
233,IndiGo,15-03-19,Chennai,Kolkata,MAA ? CCU,5:15,7:35,2h 20m,1,No info,4326
234,Air India,21-03-19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,3670
235,IndiGo,18-06-19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
236,Jet Airways,03-04-19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,2071
237,IndiGo,18-03-19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,3858
238,Air India,06-05-19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
239,IndiGo,24-03-19,Kolkata,Bangalore,CCU ? BLR,20:25,23:05,2h 40m,1,No info,8872
