Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,04/09/19,New Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,10/04/21 7:40,14h 25m,2 stops,No info,8052
Air India,06/03/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,non-stop,No info,5201
Air India,03/12/19,Bangalore,New Delhi,BLR ? BOM ? BHO ? DEL,6:45,13-03-21 9:25,26h 40m,2 stops,No info,12515
Jet Airways,03/01/19,Bangalore,New Delhi,BLR ? BOM ? DEL,22:50,02/03/21 9:30,10h 40m,1 stop,1 Long layover,31825
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,4544
Air India,03/12/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,non-stop,No info,4307
Air India,03/27/19,New Delhi,Cochin,DEL ? BLR ? COK,6:10,28-03-21 8:15,26h 5m,1 stop,No info,6681
Multiple carriers,03/27/19,New Delhi,Cochin,DEL ? BOM ? COK,17:00,28-03-21 1:35,8h 35m,1 stop,No info,6673
Air India,06/06/19,Kolkata,Bangalore,CCU ? GAU ? BLR,16:45,07/06/21 21:05,28h 20m,1 stop,No info,7662
Air India,03/21/19,New Delhi,Cochin,DEL ? MAA ? COK,6:05,22-03-21 9:25,27h 20m,1 stop,No info,7532
SpiceJet,05/06/19,Kolkata,Bangalore,CCU ? KNU ? BLR,11:35,18:50,7h 15m,1 stop,No info,8479
IndiGo,03/27/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,non-stop,No info,3858
SpiceJet,06/15/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,non-stop,No check-in baggage included,4885
Vistara,06/01/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,non-stop,No info,4878
Vistara,05/09/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,non-stop,No info,4668
IndiGo,06/01/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,non-stop,No info,3858
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,14:00,28-05-21 1:30,11h 30m,1 stop,No info,13377
Jet Airways,05/15/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,16-05-21 19:50,24h 55m,1 stop,In-flight meal not included,10844
Jet Airways,05/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,6:30,19:50,13h 20m,1 stop,In-flight meal not included,10844
Jet Airways,06/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,10/06/21 16:20,21h 25m,1 stop,In-flight meal not included,10844
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,11/05/21 4:25,29h 20m,2 stops,No info,15129
IndiGo,05/18/19,Kolkata,Bangalore,CCU ? MAA ? BLR,17:35,22:15,4h 40m,1 stop,No info,5699
Air India,06/15/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,3100
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
Jet Airways,03/01/19,Bangalore,New Delhi,BLR ? BOM ? DEL,22:50,02/03/21 5:05,6h 15m,1 stop,No info,26890
Vistara,03/24/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,25-03-21 10:50,17h 50m,1 stop,No info,12890
IndiGo,06/03/19,New Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,6093
SpiceJet,06/27/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
IndiGo,04/27/19,Bangalore,New Delhi,BLR ? DEL,23:30,28-04-21 2:20,2h 50m,non-stop,No info,3943
Air India,03/09/19,New Delhi,Cochin,DEL ? BLR ? COK,6:10,23:00,16h 50m,1 stop,No info,9064
Jet Airways,03/15/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4160
SpiceJet,06/06/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,3873
Multiple carriers,03/09/19,New Delhi,Cochin,DEL ? BOM ? COK,7:30,19:45,12h 15m,1 stop,No info,12615
IndiGo,05/06/19,Kolkata,Bangalore,CCU ? HYD ? BLR,19:20,23:45,4h 25m,1 stop,No info,3809
IndiGo,06/21/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Air India,05/09/19,Kolkata,Bangalore,CCU ? VNS ? DEL ? BLR,14:30,10/05/21 12:30,22h,2 stops,No info,15107
Vistara,06/06/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,07/06/21 9:05,16h 5m,1 stop,No info,8452
Jet Airways,03/27/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:25,1h 30m,non-stop,No info,5678
Air India,03/12/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,4307
Jet Airways,04/21/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,No info,7229
Air India,03/21/19,Bangalore,New Delhi,BLR ? HYD ? VGA ? DEL,8:15,19-03-21 11:20,27h 5m,2 stops,No info,7642
Multiple carriers,05/18/19,New Delhi,Cochin,DEL ? BOM ? COK,8:00,21:00,13h,1 stop,No info,13727
IndiGo,03/03/19,New Delhi,Cochin,DEL ? HYD ? COK,11:55,22:20,10h 25m,1 stop,No info,11600
Jet Airways,06/03/19,New Delhi,Cochin,DEL ? BOM ? COK,7:05,12:35,5h 30m,1 stop,No info,14924
Air India,05/21/19,New Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,22-05-21 19:15,21h 15m,2 stops,No info,10231
IndiGo,05/09/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,non-stop,No info,4077
IndiGo,06/24/19,New Delhi,Cochin,DEL ? MAA ? COK,7:15,12:30,5h 15m,1 stop,No info,6582
Air Asia,04/09/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,non-stop,No info,4282
SpiceJet,06/01/19,Mumbai,Hyderabad,BOM ? HYD,22:45,02/06/21 0:15,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,05/18/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,19-05-21 4:40,9h 45m,1 stop,In-flight meal not included,8586
Air India,06/24/19,New Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,5:15,25-06-21 7:40,26h 25m,3 stops,No info,10493
Air India,06/09/19,New Delhi,Cochin,DEL ? HYD ? MAA ? COK,9:45,10/06/21 9:25,23h 40m,2 stops,No info,11185
SpiceJet,04/24/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,non-stop,No info,3971
IndiGo,03/21/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:55,2h 40m,non-stop,No info,4148
IndiGo,05/01/19,Kolkata,Bangalore,CCU ? HYD ? BLR,15:15,20:05,4h 50m,1 stop,No info,4775
Jet Airways,03/18/19,Bangalore,New Delhi,BLR ? BOM ? DEL,11:40,19:10,7h 30m,1 stop,No info,14815
Air India,03/06/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,07/03/21 19:15,26h 35m,2 stops,No info,12646
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,8:25,20:45,12h 20m,1 stop,No info,14781
SpiceJet,06/01/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,non-stop,No info,3971
Jet Airways,05/24/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,non-stop,No info,8040
Jet Airways,05/21/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,22-05-21 12:00,17h 5m,1 stop,In-flight meal not included,10844
Air India,06/24/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,25-06-21 19:15,23h 30m,2 stops,No info,9443
Jet Airways,06/06/19,Kolkata,Bangalore,CCU ? DEL ? BLR,17:00,07/06/21 9:45,16h 45m,1 stop,In-flight meal not included,10539
Multiple carriers,06/06/19,New Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,7354
IndiGo,04/03/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,3419
Air India,03/18/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,2050
Multiple carriers,05/21/19,New Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,14848
SpiceJet,05/09/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3859
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,9:00,21:00,12h,1 stop,No info,7618
GoAir,05/27/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3419
Jet Airways,06/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,8:25,19:50,11h 25m,1 stop,No info,14571
Vistara,06/06/19,Kolkata,Bangalore,CCU ? DEL ? BLR,20:20,07/06/21 9:05,12h 45m,1 stop,No info,8452
Air India,06/15/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,16-06-21 19:15,23h 30m,2 stops,No info,9653
Air India,05/15/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Jet Airways,05/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,6:30,19:50,13h 20m,1 stop,No info,14781
Jet Airways,05/15/19,Kolkata,Bangalore,CCU ? DEL ? BLR,20:25,16-05-21 18:00,21h 35m,1 stop,No info,14151
Air Asia,03/09/19,Bangalore,New Delhi,BLR ? DEL,23:25,13-03-21 2:10,2h 45m,non-stop,No info,4482
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,18:55,02/05/21 10:05,15h 10m,1 stop,In-flight meal not included,8586
Vistara,06/12/19,Kolkata,Bangalore,CCU ? DEL ? BLR,7:10,22:40,15h 30m,1 stop,No info,8452
Multiple carriers,06/27/19,New Delhi,Cochin,DEL ? HYD ? COK,7:10,22:30,15h 20m,1 stop,In-flight meal not included,6093
Multiple carriers,05/01/19,New Delhi,Cochin,DEL ? BOM ? COK,7:30,19:00,11h 30m,1 stop,No info,9794
Air India,05/09/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667
Jet Airways,05/01/19,Kolkata,Bangalore,CCU ? BOM ? BLR,20:00,02/05/21 10:05,14h 5m,1 stop,No info,13941
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,4544
IndiGo,06/27/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,non-stop,No info,4804
Jet Airways,06/27/19,New Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,28-06-21 19:00,23h,2 stops,No info,14300
Jet Airways,06/24/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,26-06-21 4:25,29h 20m,2 stops,No info,12819
Air India,05/15/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,3100
Jet Airways,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,16:55,07/03/21 10:25,17h 30m,1 stop,No info,17261
Multiple carriers,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,In-flight meal not included,15136
SpiceJet,03/09/19,Bangalore,New Delhi,BLR ? DEL,20:30,23:20,2h 50m,non-stop,No info,5126
Jet Airways,06/12/19,New Delhi,Cochin,DEL ? BOM ? COK,11:30,13-06-21 12:35,25h 5m,1 stop,In-flight meal not included,10262
Multiple carriers,06/09/19,New Delhi,Cochin,DEL ? BOM ? COK,7:05,21:00,13h 55m,1 stop,No info,13587
Vistara,03/24/19,Bangalore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,non-stop,No info,5613
IndiGo,06/09/19,New Delhi,Cochin,DEL ? BLR ? COK,5:10,10:05,4h 55m,1 stop,No info,6496
Jet Airways,03/27/19,New Delhi,Cochin,DEL ? BOM ? COK,16:00,28-03-21 19:45,27h 45m,1 stop,No info,12032
Jet Airways,03/24/19,Kolkata,Bangalore,CCU ? BOM ? BLR,16:55,25-03-21 18:10,25h 15m,1 stop,No info,14231
Air Asia,06/06/19,Kolkata,Bangalore,CCU ? DEL ? BLR,22:40,07/06/21 10:40,12h,1 stop,No info,6810
Jet Airways,05/18/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,19-05-21 12:35,23h 10m,2 stops,No info,15129
Vistara,04/24/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,non-stop,No info,6216
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,13:55,07/03/21 4:25,14h 30m,1 stop,No info,15764
Air Asia,06/15/19,New Delhi,Cochin,DEL ? BLR ? COK,16:45,22:25,5h 40m,1 stop,No info,6853
Jet Airways,03/06/19,New Delhi,Cochin,DEL ? BOM ? COK,23:05,07/03/21 4:25,5h 20m,1 stop,No info,15764
Multiple carriers,03/27/19,New Delhi,Cochin,DEL ? HYD ? COK,13:05,22:20,9h 15m,1 stop,No info,6076
Jet Airways,04/15/19,New Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,In-flight meal not included,6542
IndiGo,05/15/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,non-stop,No info,4823
Air India,05/09/19,Kolkata,Bangalore,CCU ? JAI ? DEL ? BLR,8:20,23:15,14h 55m,2 stops,No info,11432
IndiGo,03/06/19,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,1h 25m,non-stop,No info,4784
IndiGo,04/24/19,New Delhi,Cochin,DEL ? HYD ? COK,7:35,12:10,4h 35m,1 stop,No info,5073
Air India,03/24/19,Kolkata,Bangalore,CCU ? DEL ? COK ? BLR,7:00,25-03-21 1:20,18h 20m,2 stops,No info,13428
Air India,05/21/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,5:00,22-05-21 7:40,26h 40m,2 stops,No info,11806
Air India,05/21/19,Kolkata,Bangalore,CCU ? BOM ? AMD ? BLR,9:25,22-05-21 5:25,20h,2 stops,No info,14687
Jet Airways,06/15/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,7229
Multiple carriers,06/24/19,New Delhi,Cochin,DEL ? BOM ? COK,17:00,25-06-21 1:30,8h 30m,1 stop,No info,7198
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,non-stop,In-flight meal not included,4544
Jet Airways,04/09/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,7229
Jet Airways,05/09/19,New Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,10/05/21 19:00,23h 50m,2 stops,No info,15129
IndiGo,03/01/19,Bangalore,New Delhi,BLR ? HYD ? DEL,16:15,20:35,4h 20m,1 stop,No Info,7917
Multiple carriers,05/18/19,New Delhi,Cochin,DEL ? BOM ? COK,12:50,19-05-21 1:30,12h 40m,1 stop,No info,7670
IndiGo,05/03/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,non-stop,No info,3943
IndiGo,03/21/19,New Delhi,Cochin,DEL ? HYD ? COK,6:40,12:00,5h 20m,1 stop,No info,5761
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,12507
Jet Airways,03/06/19,Bangalore,New Delhi,BLR ? BOM ? DEL,11:40,18:25,6h 45m,1 stop,No info,19225
SpiceJet,06/06/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,03/21/19,New Delhi,Cochin,DEL ? BOM ? COK,22:50,22-03-21 4:25,5h 35m,1 stop,In-flight meal not included,6017
Multiple carriers,05/27/19,New Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646
Jet Airways,06/09/19,Kolkata,Bangalore,CCU ? BOM ? BLR,6:30,18:15,11h 45m,1 stop,No info,14571
Jet Airways,05/24/19,Kolkata,Bangalore,CCU ? DEL ? BLR,9:35,25-05-21 14:25,28h 50m,1 stop,In-flight meal not included,10703
